Disp,Force
0,0
0.000482067,0.004625772
0.000441503,0.010729706
0.000577331,0.015253153
0.000591113,0.019433414
0.000516436,0.023030783
0.000374014,0.028185957
0.00049745,0.033192764
0.000644971,0.038448956
0.000812007,0.044227646
0.000884752,0.051070107
0.00102783,0.057923481
0.0010277,0.065517975
0.00126272,0.073888458
0.00143399,0.08265554
0.00184434,0.092169853
0.00179399,0.102031792
0.0017261,0.112809723
0.0022266,0.124102783
0.00190306,0.135666153
0.00237981,0.147950531
0.00270276,0.160391434
0.00292412,0.173218399
0.00336415,0.186268021
0.00311423,0.199388657
0.00313081,0.213081848
0.00343449,0.227472015
0.00376216,0.24230481
0.00386948,0.257754852
0.004118,0.273455811
0.00466781,0.289951141
0.00462031,0.306783478
0.00479539,0.324369354
0.0048604,0.342404144
0.00584688,0.36087088
0.00537853,0.380197266
0.00574454,0.399746399
0.00611586,0.419992981
0.0064029,0.440945862
0.00658655,0.462468628
0.00700181,0.483994873
0.00733597,0.506205841
0.00800121,0.528728333
0.00783838,0.551701538
0.00827146,0.57529718
0.00843681,0.599066284
0.00875291,0.623035339
0.00863242,0.647373291
0.00911315,0.671924561
0.00959859,0.697083618
0.00986939,0.722205505
0.00995015,0.748082336
0.00965701,0.773884949
0.0105751,0.800381409
0.0115566,0.826680298
0.0114832,0.85381012
0.0117905,0.880585327
0.0119713,0.907867371
0.0122729,0.934919189
0.0126695,0.962282837
0.0130527,0.989474792
0.0133863,1.016782471
0.0136873,1.044544678
0.0141131,1.072286621
0.0145096,1.100322266
0.0150373,1.128091919
0.0151457,1.155562256
0.0158448,1.183213501
0.0157521,1.211223145
0.0160266,1.238616089
0.0164622,1.265991943
0.0168315,1.293011719
0.0174599,1.320098877
0.0176296,1.347098145
0.0179234,1.374255371
0.0183032,1.401364014
0.0187328,1.428358887
0.0190184,1.455362427
0.0193194,1.482567261
0.0195947,1.509411133
0.020037,1.536681396
0.0193255,1.563613037
0.0205548,1.590677124
0.0209679,1.617949341
0.0212761,1.644877808
0.021743,1.671681152
0.0221909,1.69909729
0.0222296,1.726041748
0.0223687,1.753087646
0.0228642,1.780013306
0.0233161,1.807065796
0.0235227,1.833834595
0.0235319,1.860913208
0.0245268,1.887784912
0.0243947,1.914666992
0.0250702,1.941217407
0.0252119,1.968005493
0.025444,1.994434814
0.0257018,2.021476196
0.0260304,2.048697021
0.0262889,2.075625488
0.0265754,2.102294434
0.0269922,2.128917236
0.0273239,2.155594238
0.0273771,2.182086914
0.0280104,2.208796875
0.0258902,2.235347412
0.0283845,2.261865967
0.0292845,2.288351074
0.0293085,2.314832031
0.0296608,2.34158252
0.0300245,2.36817749
0.0302946,2.395041016
0.030641,2.421911377
0.0313601,2.448625977
0.031343,2.475182861
0.0316821,2.501891357
0.0319564,2.528822754
0.032887,2.555181152
0.0327504,2.580910889
0.0331697,2.607422607
0.0334879,2.633547607
0.0332411,2.659793457
0.0338296,2.686306396
0.034513,2.713075195
0.0354867,2.739581787
0.0350152,2.765821533
0.035396,2.791871826
0.0360509,2.818071533
0.0362574,2.844711914
0.0364312,2.871002686
0.0368954,2.897023193
0.037292,2.923284668
0.0374292,2.94946875
0.0378268,2.975904785
0.0386548,3.002682617
0.0384461,3.029869629
0.0387138,3.056033936
0.0393608,3.082443115
0.0397656,3.108912354
0.0400804,3.135773926
0.0402091,3.16239209
0.0406759,3.189694336
0.0404463,3.217333984
0.0416525,3.24548877
0.041748,3.274037109
0.0422314,3.302905518
0.0426147,3.332304199
0.0431113,3.362370605
0.04338,3.392652588
0.0437998,3.423475342
0.0441549,3.454164795
0.0445528,3.485356934
0.0449234,3.516624512
0.0454459,3.54894458
0.0458585,3.580729248
0.0463548,3.612973145
0.0472591,3.64472876
0.0472182,3.677004883
0.0476207,3.709127441
0.0481051,3.741772705
0.0486881,3.773989502
0.0488719,3.806948975
0.0497624,3.839802002
0.0499836,3.873450439
0.0512497,3.906783936
0.051107,3.940004639
0.0514098,3.973237305
0.0518292,4.006498047
0.0526967,4.039790527
0.0529668,4.072814209
0.0534019,4.106401367
0.053922,4.140643555
0.0543749,4.175251953
0.0550906,4.209849609
0.0553424,4.244158691
0.0560614,4.278208008
0.0563047,4.312515137
0.0568855,4.346441895
0.0572262,4.380814941
0.0579918,4.414943848
0.0584354,4.449580566
0.0588781,4.484114258
0.0594205,4.518848145
0.0600278,4.553332031
0.0606934,4.588349609
0.0612288,4.622851074
0.061626,4.657506836
0.0626928,4.692219727
0.0629589,4.727736816
0.0634099,4.762726563
0.0641627,4.798734375
0.0643866,4.834042969
0.0651622,4.869340332
0.0658243,4.904356445
0.0663632,4.939817383
0.0669987,4.975605957
0.0677334,5.010611816
0.0682682,5.04571875
0.0688688,5.081186523
0.0699079,5.116481934
0.0697893,5.151290039
0.0705429,5.186689941
0.0708427,5.221765625
0.0716827,5.25695166
0.0722902,5.292016113
0.0728554,5.327078613
0.073692,5.362318848
0.0741601,5.397649902
0.0748939,5.433649414
0.075645,5.469652832
0.0762501,5.505583496
0.0768718,5.54163623
0.0774976,5.576749512
0.0781415,5.61224707
0.0787954,5.647774902
0.0798049,5.683209473
0.0805629,5.718522461
0.0809455,5.7541875
0.0815395,5.789242188
0.0825114,5.824738281
0.0832757,5.859541992
0.083839,5.894560059
0.0848442,5.929484863
0.0850998,5.965224121
0.0860561,6.000236328
0.0870404,6.035303223
0.0877016,6.070295898
0.0884117,6.106227539
0.0891228,6.141604492
0.0901384,6.177082031
0.0909647,6.212084961
0.0917662,6.246721191
0.0924278,6.28204248
0.0933153,6.316894531
0.0940956,6.351630859
0.0949592,6.386575195
0.0957979,6.421224609
0.0965967,6.456133789
0.0978353,6.491677246
0.0983761,6.526437012
0.0994858,6.561505859
0.100397,6.596225586
0.10114,6.630522461
0.102322,6.665249512
0.103658,6.700143066
0.10444,6.73490625
0.105651,6.770081055
0.106748,6.805235352
0.107755,6.839978027
0.108787,6.873854004
0.11001,6.908260742
0.11103,6.941972168
0.11221,6.976176758
0.113481,7.009796387
0.114658,7.043894531
0.116282,7.076777344
0.117673,7.109976074
0.11901,7.142583008
0.12052,7.175379883
0.122032,7.207851563
0.123928,7.239859375
0.126051,7.271269531
0.127646,7.302621582
0.129453,7.333438965
0.129541,7.364594727
0.133421,7.395196289
0.135383,7.425936035
0.1379,7.455430664
0.140547,7.484614258
0.142964,7.51311377
0.145334,7.541560059
0.147899,7.569770508
0.150684,7.597867188
0.153409,7.625294922
0.156467,7.652300781
0.159054,7.678965332
0.16196,7.705129395
0.164654,7.731632813
0.167905,7.757658691
0.169211,7.783619141
0.174343,7.809264648
0.176902,7.834922363
0.180527,7.859876465
0.183853,7.885963867
0.187159,7.911428711
0.190763,7.936871094
0.19433,7.961002441
0.197954,7.985475098
0.20129,8.009754395
0.204475,8.034447266
0.208055,8.058574219
0.212055,8.082962891
0.215235,8.10665918
0.219228,8.130483887
0.223094,8.152931152
0.226407,8.175463867
0.230406,8.198105469
0.234068,8.221058594
0.237788,8.243751953
0.241822,8.266267578
0.245992,8.288897461
0.249552,8.31059375
0.253677,8.332983398
0.258196,8.355591797
