Displacement,Force,S_Max,S_Min,S_Mid,PEEQ,TRIAX,Load Angle
1.91105,8.92105,1745.53,473.624,98.4881,0.441733,0.581692,0.516687
0,0,0,0,0,0,0,0
1.71835,9.13433,1344.56,546.29,229.804,0.324125,0.466943,0.710432
2.02019,8.52024,733.504,349.926,-360.319,0.543248,nan,0.250752
2.38966,7.36185,2464.11,1426.73,610.425,1.25005,0.131247,0.93244
2.06188,8.62037,1420.12,792.542,403.145,0.598545,0.25547,0.981092
2.27274,7.94911,2212.6,1116.02,402.978,0.927623,0.232551,0.78782
0,0,0,0,0,0,0,0
2.14551,8.39727,1910.37,854.998,318.745,0.700062,0.355265,0.732946
2.11735,8.47505,1636.64,875.382,437.329,0.667096,0.29505,0.935294
2.09317,8.54311,1950.1,745.865,216.94,0.627534,0.422647,0.631126
2.00258,8.45255,1194.7,512.863,244.186,0.530805,0.660384,0.76657
2.12674,8.45076,1991.48,807.105,242.626,0.672449,0.385522,0.655742
1.60348,9.19742,1491.76,307.618,69.4767,0.264242,0.700212,0.472137
2.28497,6.41691,2271.35,970.301,526.643,0.960454,0.527867,0.799756
2.22472,8.13811,2131.67,1004.43,341.855,0.828154,0.28416,0.73967
2.26506,7.98179,2198.63,1096.94,392.233,0.910157,0.241037,0.779534
2.27274,7.94911,2215.53,1117.11,406.321,0.927638,0.235056,0.789428
2.18205,8.28374,1894.47,951.448,413.818,0.757601,0.29947,0.836985
2.19912,8.22538,2105.7,955.214,328.265,0.783772,0.321721,0.723534
2.08534,8.56386,1936.37,731.944,205.502,0.617526,0.424768,0.62332
2.28042,7.91468,1829.94,1180.99,722.334,0.95374,0.188868,1.291
0,0,0,0,0,0,0,0
1.91956,8.90048,268.573,102.118,-369.104,0.459027,0.217978,0.000923457
