Displacement,Force,S_Max,S_Min,S_Mid,PEEQ,TRIAX,Load Angle
1.59277,7.88017,2186.48,1394.0,637.628,1.1485,0.0253238,1.04813
0.308392,7.14544,1332.37,488.728,81.6272,0.0656731,0.380937,0.574002
1.0741,9.63572,1637.05,480.27,48.7278,0.283148,0.492282,0.50756
1.43408,8.80758,2081.6,1043.58,296.72,0.683875,0.179343,0.734664
1.84015,5.38132,2624.17,1647.62,712.249,1.92155,0.0235594,1.00329
1.34263,9.13944,1939.95,858.289,197.685,0.532972,0.264771,0.655509
1.60047,7.83506,2185.71,1393.71,613.116,1.17143,0.00717252,1.02613
1.38483,9.00012,2002.03,940.62,239.499,0.595846,0.224361,0.690126
1.60047,7.83524,2457.92,1460.41,605.039,1.16918,0.0845132,0.938722
0,0,0,0,0,0,0,0
0.917754,9.69078,1505.98,393.524,37.762,0.20545,0.552356,0.486771
1.29142,9.28156,1588.31,835.411,313.164,0.475697,0.198683,0.821653
0.893066,9.68628,1412.08,484.663,110.57,0.199132,0.459645,0.576517
1.17198,9.52238,1728.47,586.633,80.7957,0.351873,0.418781,0.546286
1.46804,8.65269,2142.23,1119.02,342.543,0.756678,0.150851,0.768343
1.43408,8.80758,2081.6,1043.58,296.72,0.683875,0.179343,0.734664
1.48432,8.57122,2173.88,1156.71,367.264,0.79596,0.138735,0.785752
1.74942,6.41543,2669.76,1678.56,776.21,1.66996,0.0515993,1.04128
1.56711,8.08127,2366.94,1367.45,526.536,1.04743,0.0949177,0.890024
1.68323,7.10616,1889.64,1494.89,1104.41,1.46875,0.00560415,2.20036
1.24878,9.38195,1817.21,696.166,124.46,0.421756,0.353738,0.589537
1.24025,9.39984,1807.04,683.007,119.085,0.413227,0.361514,0.584326
1.09878,9.6136,1658.88,503.689,55.5192,0.298616,0.476117,0.51601
1.45968,8.69244,2126.75,1100.08,330.657,0.737747,0.157564,0.759772
