Displacement,Force,S_Max,S_Min,S_Mid,PEEQ,TRIAX,Load Angle
0.960788,9.87727,1902.16,766.12,215.514,0.478813,0.375694,0.645265
0.316389,8.68139,821.064,186.345,73.1609,0.11712,0.871717,0.515865
1.77901,6.25076,684.535,-468.687,-1138.04,1.53607,0.286065,-0.192504
1.52873,7.961,1708.96,639.83,-57.906,1.19363,0.228921,0.495419
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.56991,6.67334,1843.69,671.663,47.4601,1.28586,0.364775,0.540845
0.935707,9.90564,1192.38,53.9087,47.6768,0.426238,0.965878,0.377822
1.21136,9.5916,1948.74,904.426,192.769,0.735326,0.434183,0.663696
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.09514,8.5719,1624.0,629.234,-20.0816,0.59516,0.0,0.519004
0.550598,9.11969,33.4226,29.2849,-709.339,0.218313,0.753131,-0.291
1.5872,7.50007,1750.64,771.885,-37.7752,1.30576,0.0,0.533969
1.55028,6.79332,1835.45,742.977,37.9167,1.28465,0.749161,0.555942
0.969188,9.92494,1497.88,31.4687,-17.2869,0.447848,0.950612,0.337954
0,0,0,0,0,0,0,0
1.92972,5.00247,1206.2,635.398,101.666,1.86564,0.0366633,0.677048
1.01104,9.41627,1247.75,271.397,-340.888,0.504506,0.0,0.283006
1.22,8.29521,1584.7,750.674,54.7576,0.761254,0.10117,0.60049
0.89375,9.85993,1623.88,489.064,-33.5768,0.409925,0.776585,0.47226
1.86923,5.01535,1760.11,483.23,-30.369,1.80273,0.463189,0.461938
0,0,0,0,0,0,0,0
1.64499,6.07081,1874.2,801.378,50.2504,1.41377,0.205724,0.572261
