Displacement,Force,S_Max,S_Min,S_Mid,PEEQ,TRIAX,Load Angle
1.41397,9.22357,1758.14,559.87,97.5073,0.40597,0.0,0.542395
0,0,0,0,0,0,0,0
1.43038,9.19442,1671.2,620.759,129.909,0.422544,0.0056706,0.591939
1.33192,9.34142,1676.92,460.299,63.1343,0.342242,0.0,0.503605
1.68856,8.46154,2127.15,1059.43,332.667,0.770437,0.0,0.750346
1.77983,8.01924,2304.16,1280.19,472.467,1.0006,0.0,0.850499
1.83839,7.65579,2440.15,1429.77,587.185,1.19077,0.0,0.924573
1.72981,8.27755,2202.17,1156.76,390.49,0.863464,0.0,0.793447
1.67149,8.53022,2098.75,1021.29,311.522,0.73666,0.0,0.733867
1.52065,8.99889,928.493,717.472,182.567,0.525195,0.00904,0.467517
1.68856,8.46154,2127.15,1059.43,332.667,0.770437,0.0,0.750346
1.45919,4.69479,1519.56,1070.39,784.308,0.251181,0.007469,1.75209
1.54562,8.94122,1772.93,755.073,180.104,0.543254,0.0042015,0.646132
1.35872,7.69345,235.007,118.646,-445.47,0.360467,0.009192,0.869223
0,0,0,0,0,0,0,0
1.72801,6.75687,2220.3,1099.12,422.159,0.892503,0.0,0.489244
1.51243,9.02431,1870.39,709.551,157.081,0.502744,0.0,0.602354
1.81325,7.82008,2382.68,1367.34,538.448,1.10749,0.0,0.893504
1.51243,9.02436,1871.26,709.352,158.275,0.502731,0.0,0.602774
2.07294,5.44589,2623.11,1643.85,715.404,1.84853,0.0,1.00513
1.24987,9.41949,1570.83,399.614,44.0095,0.291521,0.0004018,0.485273
1.29433,8.05064,1903.66,1038.41,231.49,0.318736,0.0,0.730342
1.65453,8.59602,2068.47,982.302,288.435,0.704752,0.0,0.716267
