,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 4,Unnamed: 8,Unnamed: 9,Unnamed: 11,Unnamed: 12
74,1.44417E+03,327.037,13.8188,183.657E-03,0.,,599.256E-03,456.888E-03
75,1.44689E+03,325.821,13.6499,186.329E-03,0.,,601.593E-03,456.128E-03
76,1.44947E+03,324.29,13.4418,188.995E-03,0.,,604.273E-03,455.248E-03
77,1.45209E+03,323.203,13.2966,191.646E-03,0.,,606.406E-03,454.559E-03
78,1.4548E+03,322.472,13.1856,194.317E-03,0.,,608.101E-03,454.011E-03
79,1.45784E+03,322.175,13.3798,196.979E-03,0.,,609.62E-03,453.74E-03
80,1.4606E+03,321.411,13.3806,199.64E-03,0.,,611.481E-03,453.233E-03
81,1.46309E+03,320.462,13.2872,202.293E-03,0.,,613.406E-03,452.639E-03
82,1.4654E+03,319.201,13.1086,204.95E-03,0.,,615.606E-03,451.909E-03
83,1.46798E+03,318.527,13.0691,207.605E-03,0.,,617.225E-03,451.436E-03
84,1.47048E+03,317.62,13.0545,210.252E-03,0.,,619.156E-03,450.899E-03
85,1.47338E+03,317.767,13.3188,212.913E-03,0.,,620.064E-03,450.841E-03
86,1.47636E+03,318.033,13.6555,215.562E-03,0.,,620.906E-03,450.853E-03
87,1.47922E+03,318.081,13.9191,218.221E-03,0.,,621.929E-03,450.761E-03
88,1.48152E+03,317.223,13.8857,220.858E-03,0.,,623.694E-03,450.254E-03
89,1.4838E+03,316.429,13.9091,223.503E-03,0.,,625.421E-03,449.799E-03
90,1.48633E+03,316.148,14.0826,226.14E-03,0.,,626.682E-03,449.578E-03
91,1.48876E+03,315.666,14.2101,228.778E-03,0.,,628.133E-03,449.272E-03
92,1.4912E+03,315.41,14.3547,231.411E-03,0.,,629.298E-03,449.055E-03
93,1.49338E+03,314.727,14.4061,234.038E-03,0.,,630.854E-03,448.665E-03
94,1.49528E+03,313.547,14.3131,236.654E-03,0.,,632.842E-03,448.055E-03
95,1.49717E+03,312.396,14.1986,239.265E-03,0.,,634.757E-03,447.448E-03
96,1.49906E+03,311.359,14.1629,241.877E-03,0.,,636.599E-03,446.919E-03
97,1.5007E+03,309.975,14.0025,244.47E-03,0.,,638.696E-03,446.231E-03
98,1.5021E+03,308.101,13.7342,247.058E-03,0.,,641.255E-03,445.342E-03
99,1.50351E+03,306.284,13.4845,249.634E-03,0.,,643.757E-03,444.482E-03
100,1.50472E+03,304.176,13.219,252.209E-03,0.,,646.563E-03,443.53E-03
101,1.50574E+03,301.782,12.8639,254.766E-03,0.,,649.592E-03,442.453E-03
102,1.5067E+03,299.331,12.4699,257.313E-03,0.,,652.632E-03,441.345E-03
103,1.50751E+03,296.635,11.9862,259.849E-03,0.,,655.849E-03,440.124E-03
104,1.50876E+03,295.004,11.7649,262.396E-03,0.,,658.055E-03,439.364E-03
105,1.50976E+03,292.888,11.4477,264.921E-03,0.,,660.721E-03,438.411E-03
106,1.5108E+03,290.876,11.1572,267.438E-03,0.,,663.285E-03,437.504E-03
107,1.51157E+03,288.315,10.7433,269.958E-03,0.,,666.358E-03,436.373E-03
108,1.51236E+03,286.071,10.3536,272.46E-03,0.,,669.042E-03,435.363E-03
109,1.51321E+03,283.849,10.0659,274.956E-03,0.,,671.814E-03,434.403E-03
110,1.51421E+03,281.943,9.83784,277.449E-03,0.,,674.267E-03,433.571E-03
111,1.51515E+03,279.917,9.60228,279.933E-03,0.,,676.85E-03,432.699E-03
112,1.51591E+03,277.898,9.24471,282.394E-03,0.,,679.245E-03,431.79E-03
113,1.51704E+03,276.691,8.99149,284.869E-03,0.,,680.783E-03,431.186E-03
114,1.51811E+03,275.378,8.72795,287.334E-03,0.,,682.432E-03,430.545E-03
115,1.51934E+03,274.457,8.49419,289.79E-03,0.,,683.639E-03,430.044E-03
116,1.52034E+03,273.163,8.24478,292.235E-03,0.,,685.254E-03,429.422E-03
117,1.52151E+03,272.201,8.08881,294.68E-03,0.,,686.579E-03,428.947E-03
118,1.5226E+03,271.162,7.84584,297.12E-03,0.,,687.888E-03,428.413E-03
119,1.52305E+03,269.229,7.11848,299.556E-03,0.,,689.682E-03,427.403E-03
120,1.52328E+03,267.267,6.3539,301.78E-03,0.,,691.419E-03,426.384E-03
121,1.52338E+03,265.066,5.62214,303.944E-03,0.,,693.465E-03,425.305E-03
122,1.52371E+03,263.237,5.01946,306.118E-03,0.,,695.22E-03,424.397E-03
123,1.52408E+03,261.452,4.47246,308.287E-03,0.,,696.982E-03,423.527E-03
124,1.52446E+03,259.779,3.90321,310.44E-03,0.,,698.578E-03,422.687E-03
125,1.52488E+03,258.238,3.39153,312.599E-03,0.,,700.075E-03,421.916E-03
126,1.52535E+03,256.782,2.92652,314.752E-03,0.,,701.521E-03,421.191E-03
127,1.52585E+03,255.363,2.49474,316.9E-03,0.,,702.962E-03,420.492E-03
128,1.52659E+03,254.307,2.21841,319.048E-03,0.,,704.15E-03,419.972E-03
129,1.52736E+03,253.324,2.00533,321.195E-03,0.,,705.32E-03,419.501E-03
130,1.5281E+03,252.408,1.74637,323.342E-03,0.,,706.35E-03,419.036E-03
131,1.52889E+03,251.624,1.50857,325.478E-03,0.,,707.246E-03,418.623E-03
132,1.52974E+03,250.868,1.34248,327.613E-03,0.,,708.192E-03,418.247E-03
133,1.53038E+03,249.764,1.04878,329.741E-03,0.,,709.395E-03,417.712E-03
134,1.53125E+03,249.081,950.771E-03,331.866E-03,0.,,710.32E-03,417.389E-03
135,1.53205E+03,248.276,829.325E-03,333.992E-03,0.,,711.358E-03,417.02E-03
136,1.53285E+03,247.399,742.233E-03,336.115E-03,0.,,712.519E-03,416.641E-03
137,1.53345E+03,246.06,637.501E-03,338.225E-03,0.,,714.2E-03,416.108E-03
138,1.53388E+03,244.383,481.338E-03,340.321E-03,0.,,716.208E-03,415.449E-03
139,1.53421E+03,242.636,296.623E-03,342.407E-03,0.,,718.25E-03,414.76E-03
140,1.53481E+03,241.354,260.003E-03,344.489E-03,0.,,719.92E-03,414.277E-03
141,1.53547E+03,240.072,328.022E-03,346.564E-03,0.,,721.706E-03,413.835E-03
142,1.53583E+03,238.379,183.326E-03,348.625E-03,0.,,723.719E-03,413.181E-03
143,1.53692E+03,237.964,457.935E-03,350.691E-03,0.,,724.727E-03,413.095E-03
144,1.53749E+03,236.726,458.584E-03,352.741E-03,0.,,726.364E-03,412.645E-03
145,1.5385E+03,235.762,699.01E-03,355.136E-03,0.,,727.989E-03,412.365E-03
146,1.53963E+03,234.969,924.545E-03,357.692E-03,0.,,729.415E-03,412.129E-03
147,1.54044E+03,233.575,1.01145,360.225E-03,0.,,731.371E-03,411.65E-03
148,1.54069E+03,231.251,859.222E-03,362.732E-03,0.,,734.112E-03,410.787E-03
149,1.54086E+03,228.811,661.521E-03,365.225E-03,0.,,736.931E-03,409.872E-03
150,1.5412E+03,226.816,472.345E-03,367.706E-03,0.,,739.236E-03,409.102E-03
151,1.54165E+03,224.897,427.26E-03,370.176E-03,0.,,741.612E-03,408.412E-03
152,1.54206E+03,223.024,363.775E-03,372.635E-03,0.,,743.902E-03,407.732E-03
153,1.54294E+03,222.04,520.185E-03,375.076E-03,0.,,745.414E-03,407.42E-03
154,1.54398E+03,221.447,698.808E-03,377.516E-03,0.,,746.489E-03,407.241E-03
155,1.54515E+03,221.083,959.732E-03,379.947E-03,0.,,747.403E-03,407.165E-03
156,1.54631E+03,220.819,1.20273,382.366E-03,0.,,748.169E-03,407.118E-03
157,1.54785E+03,221.211,1.66784,384.786E-03,0.,,748.435E-03,407.362E-03
158,1.54933E+03,221.466,2.11648,387.197E-03,0.,,748.841E-03,407.556E-03
159,1.55035E+03,220.926,2.36158,389.579E-03,0.,,749.919E-03,407.422E-03
160,1.55139E+03,220.57,2.56621,391.956E-03,0.,,750.732E-03,407.334E-03
161,1.55245E+03,220.057,2.90393,394.331E-03,0.,,751.88E-03,407.245E-03
162,1.554E+03,220.474,3.47352,396.684E-03,0.,,752.222E-03,407.538E-03
163,1.55581E+03,221.361,4.16442,399.041E-03,0.,,752.167E-03,408.024E-03
164,1.55744E+03,221.904,4.82663,401.38E-03,0.,,752.465E-03,408.391E-03
165,1.55945E+03,223.123,5.71375,403.719E-03,0.,,752.248E-03,409.056E-03
166,1.56145E+03,224.399,6.55782,406.049E-03,0.,,751.914E-03,409.723E-03
167,1.56366E+03,225.966,7.57207,408.364E-03,0.,,751.447E-03,410.544E-03
168,1.56621E+03,228.114,8.80211,410.681E-03,0.,,750.558E-03,411.628E-03
169,1.56883E+03,230.466,10.0434,412.992E-03,0.,,749.451E-03,412.781E-03
170,1.5716E+03,233.115,11.3618,415.282E-03,0.,,748.09E-03,414.054E-03
171,1.57452E+03,235.996,12.7884,417.578E-03,0.,,746.592E-03,415.439E-03
172,1.57728E+03,238.375,14.303,419.826E-03,0.,,745.764E-03,416.697E-03
173,1.57973E+03,240.246,15.6701,422.088E-03,0.,,745.34E-03,417.741E-03
174,1.58249E+03,242.562,17.2986,424.311E-03,0.,,744.706E-03,419.02E-03
175,1.58482E+03,244.145,18.6497,426.556E-03,0.,,744.592E-03,419.965E-03
176,1.58734E+03,246.098,20.1064,428.788E-03,0.,,744.177E-03,421.064E-03
177,1.58943E+03,247.366,21.3071,431.007E-03,0.,,744.246E-03,421.854E-03
178,1.59114E+03,248.266,22.1363,433.218E-03,0.,,744.304E-03,422.391E-03
179,1.59338E+03,250.184,23.2251,435.406E-03,0.,,743.502E-03,423.343E-03
180,1.59554E+03,252.365,24.0124,437.582E-03,0.,,742.054E-03,424.267E-03
181,1.60095E+03,263.835,24.2912,439.826E-03,0.,,729.565E-03,427.901E-03
182,1.60268E+03,265.619,24.6289,442.039E-03,0.,,728.058E-03,428.529E-03
183,1.606E+03,271.804,24.8691,444.266E-03,0.,,721.485E-03,430.488E-03
184,1.60605E+03,270.703,24.2835,446.409E-03,0.,,722.213E-03,429.879E-03
185,1.60633E+03,270.227,23.7319,448.514E-03,0.,,722.269E-03,429.479E-03
186,1.61117E+03,277.866,25.605,450.697E-03,0.,,715.89E-03,432.483E-03
187,1.61108E+03,276.082,25.2812,452.753E-03,0.,,717.701E-03,431.763E-03
188,1.61263E+03,278.628,25.0431,454.805E-03,0.,,714.691E-03,432.414E-03
189,1.61878E+03,299.38,21.6096,457.105E-03,0.,,692.863E-03,437.478E-03
190,1.62015E+03,302.574,20.7197,459.164E-03,0.,,683.112E-03,438.072E-03
191,1.63114E+03,333.957,19.5805,461.592E-03,0.,,661.274E-03,447.11E-03
192,1.63934E+03,343.857,25.6618,463.812E-03,0.,,642.013E-03,452.308E-03
193,1.63896E+03,340.153,25.8632,465.834E-03,0.,,646.631E-03,451.213E-03
194,1.64823E+03,356.177,30.5718,468.066E-03,0.,,634.18E-03,457.731E-03
195,1.64747E+03,360.814,25.8796,470.302E-03,0.,,624.507E-03,457.289E-03
196,1.64888E+03,371.87,21.6565,472.398E-03,0.,,606.54E-03,458.932E-03
197,1.66923E+03,431.451,24.6397,475.506E-03,0.,,541.596E-03,477.508E-03
198,1.6801E+03,459.056,26.6187,477.979E-03,0.,,448.431E-03,486.062E-03
199,1.68839E+03,504.056,20.2071,481.236E-03,0.,,454.237E-03,496.153E-03
200,1.69191E+03,520.888,18.4742,483.906E-03,0.,,353.682E-03,500.073E-03
201,1.71301E+03,559.08,32.6251,487.272E-03,0.,,405.994E-03,516.049E-03
202,1.70376E+03,589.406,11.6502,490.673E-03,0.,,345.815E-03,515.699E-03
203,1.75414E+03,683.407,51.3042,496.134E-03,0.,,634.685E-03,556.447E-03
204,0.,0.,0.,0.,0.,,169.936E-03,0.
205,0.,0.,0.,0.,0.,,140.351E-03,0.
206,0.,0.,0.,0.,0.,,128.92E-03,0.
207,0.,0.,0.,0.,0.,,23.8567E-03,0.
208,0.,0.,0.,0.,0.,,254.51E-03,0.
209,0.,0.,0.,0.,0.,,186.524E-03,0.
210,0.,0.,0.,0.,0.,,85.7319E-03,0.
211,0.,0.,0.,0.,0.,,,0.
212,0.,0.,0.,0.,0.,,692.37E-03,0.
213,0.,0.,0.,0.,0.,,,0.
214,0.,0.,0.,0.,0.,,459.925E-03,0.
215,0.,0.,0.,0.,0.,,,0.
216,0.,0.,0.,0.,0.,,,0.
217,0.,0.,0.,0.,0.,,,0.
218,0.,0.,0.,0.,0.,,,0.
219,0.,0.,0.,0.,0.,,,0.
220,0.,0.,0.,0.,0.,,,0.
221,0.,0.,0.,0.,0.,,,0.
222,0.,0.,0.,0.,0.,,0.,0.
223,0.,0.,0.,0.,0.,,,0.
224,0.,0.,0.,0.,0.,,,0.
225,0.,0.,0.,0.,0.,,,0.
226,0.,0.,0.,0.,0.,,,0.
227,0.,0.,0.,0.,0.,,,0.
228,0.,0.,0.,0.,0.,,,0.
229,0.,0.,0.,0.,0.,,,0.
230,0.,0.,0.,0.,0.,,0.,0.
231,0.,0.,0.,0.,0.,,,0.
232,0.,0.,0.,0.,0.,,0.,0.
233,0.,0.,0.,0.,0.,,0.,0.
234,0.,0.,0.,0.,0.,,,0.
235,0.,0.,0.,0.,0.,,,0.
236,0.,0.,0.,0.,0.,,,0.
237,0.,0.,0.,0.,0.,,,0.
238,0.,0.,0.,0.,0.,,312.156E-03,0.
239,0.,0.,0.,0.,0.,,,0.
240,0.,0.,0.,0.,0.,,,0.
241,0.,0.,0.,0.,0.,,,0.
242,0.,0.,0.,0.,0.,,,0.
243,0.,0.,0.,0.,0.,,98.2262E-03,0.
244,0.,0.,0.,0.,0.,,,0.
245,0.,0.,0.,0.,0.,,,0.
246,0.,0.,0.,0.,0.,,125.867E-03,0.
247,0.,0.,0.,0.,0.,,191.312E-03,0.
248,0.,0.,0.,0.,0.,,0.,0.
249,0.,0.,0.,0.,0.,,,0.
250,0.,0.,0.,0.,0.,,29.4051E-03,0.
251,0.,0.,0.,0.,0.,,0.,0.
252,0.,0.,0.,0.,0.,,0.,0.
253,0.,0.,0.,0.,0.,,0.,0.
254,0.,0.,0.,0.,0.,,0.,0.
255,0.,0.,0.,0.,0.,,0.,0.
256,0.,0.,0.,0.,0.,,0.,0.
257,0.,0.,0.,0.,0.,,0.,0.
258,0.,0.,0.,0.,0.,,0.,0.
259,0.,0.,0.,0.,0.,,0.,0.
260,0.,0.,0.,0.,0.,,0.,0.
261,0.,0.,0.,0.,0.,,0.,0.
262,0.,0.,0.,0.,0.,,0.,0.
263,0.,0.,0.,0.,0.,,0.,0.
264,0.,0.,0.,0.,0.,,0.,0.
265,0.,0.,0.,0.,0.,,0.,0.
266,0.,0.,0.,0.,0.,,0.,0.
267,0.,0.,0.,0.,0.,,0.,0.
268,0.,0.,0.,0.,0.,,0.,0.
269,0.,0.,0.,0.,0.,,0.,0.
270,0.,0.,0.,0.,0.,,0.,0.
271,0.,0.,0.,0.,0.,,0.,0.
272,0.,0.,0.,0.,0.,,0.,0.
273,0.,0.,0.,0.,0.,,0.,0.
274,0.,0.,0.,0.,0.,,0.,0.
275,0.,0.,0.,0.,0.,,0.,0.
276,0.,0.,0.,0.,0.,,0.,0.
277,0.,0.,0.,0.,0.,,0.,0.
278,0.,0.,0.,0.,0.,,0.,0.
279,0.,0.,0.,0.,0.,,0.,0.
280,0.,0.,0.,0.,0.,,0.,0.
281,0.,0.,0.,0.,0.,,0.,0.
282,0.,0.,0.,0.,0.,,0.,0.
283,0.,0.,0.,0.,0.,,0.,0.
284,0.,0.,0.,0.,0.,,0.,0.
285,0.,0.,0.,0.,0.,,0.,0.
286,0.,0.,0.,0.,0.,,0.,0.
287,0.,0.,0.,0.,0.,,0.,0.
288,0.,0.,0.,0.,0.,,0.,0.
289,0.,0.,0.,0.,0.,,0.,0.
290,0.,0.,0.,0.,0.,,0.,0.
291,0.,0.,0.,0.,0.,,0.,0.
292,0.,0.,0.,0.,0.,,0.,0.
293,0.,0.,0.,0.,0.,,0.,0.
294,0.,0.,0.,0.,0.,,0.,0.
295,0.,0.,0.,0.,0.,,0.,0.
296,0.,0.,0.,0.,0.,,0.,0.
297,0.,0.,0.,0.,0.,,0.,0.
298,0.,0.,0.,0.,0.,,0.,0.
299,0.,0.,0.,0.,0.,,0.,0.
300,0.,0.,0.,0.,0.,,0.,0.
301,0.,0.,0.,0.,0.,,0.,0.
302,0.,0.,0.,0.,0.,,0.,0.
