,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 4,Unnamed: 8,Unnamed: 9,Unnamed: 11,Unnamed: 12
2,0.,0.,0.,0.,0.,,0.,0.
3,69.8046,2.56364,980.121E-03,0.,0.,,0.,359.305E-03
4,241.035,11.3822,4.31894,0.,0.,,0.,366.874E-03
5,315.827,11.0429,5.72192,0.,0.,,0.,360.558E-03
6,407.222,13.2214,7.37912,26.5959E-06,0.,,963.572E-03,359.254E-03
7,523.168,22.2646,8.95324,167.E-06,0.,,953.472E-03,363.992E-03
8,604.036,30.7103,10.7772,372.584E-06,0.,,0.,368.735E-03
9,661.461,33.7491,12.201,538.358E-06,0.,,893.659E-03,369.159E-03
10,726.177,36.6425,13.2961,841.332E-06,0.,,942.069E-03,368.789E-03
11,748.688,22.6843,14.5568,919.306E-06,0.,,0.,358.822E-03
12,804.666,14.4037,70.2122E-03,953.724E-06,0.,,821.786E-03,342.367E-03
13,886.995,37.3133,20.7164,1.64804E-03,0.,,963.084E-03,367.1E-03
14,943.375,233.568,18.4011,4.6057E-03,0.,,571.709E-03,475.27E-03
15,979.865,332.137,18.3745,7.88174E-03,0.,,381.501E-03,522.175E-03
16,1.00942E+03,374.462,18.5023,11.5211E-03,0.,,307.726E-03,537.668E-03
17,1.03224E+03,384.029,18.5756,14.961E-03,0.,,304.916E-03,537.896E-03
18,1.05378E+03,385.065,18.8886,18.5773E-03,0.,,319.304E-03,534.604E-03
19,1.07273E+03,383.143,19.5175,21.9905E-03,0.,,337.682E-03,530.779E-03
20,1.09088E+03,380.016,19.896,25.5497E-03,0.,,356.883E-03,526.446E-03
21,1.10752E+03,377.2,20.5032,28.9635E-03,0.,,374.111E-03,522.789E-03
22,1.12287E+03,375.091,20.5308,32.3783E-03,0.,,387.878E-03,519.309E-03
23,1.13722E+03,372.752,20.663,35.7291E-03,0.,,401.203E-03,516.039E-03
24,1.15055E+03,369.592,20.6414,39.0582E-03,0.,,414.886E-03,512.526E-03
25,1.16376E+03,369.242,20.8822,42.3298E-03,0.,,423.333E-03,510.513E-03
26,1.17559E+03,367.015,20.863,45.5285E-03,0.,,433.889E-03,507.749E-03
27,1.18726E+03,366.849,20.8702,48.6979E-03,0.,,440.462E-03,505.967E-03
28,1.19801E+03,364.889,20.7548,51.8611E-03,0.,,449.447E-03,503.495E-03
29,1.20838E+03,364.121,20.7509,54.9357E-03,0.,,456.105E-03,501.7E-03
30,1.21826E+03,362.689,20.5439,58.0694E-03,0.,,463.3E-03,499.586E-03
31,1.22756E+03,361.374,20.5228,61.0816E-03,0.,,470.101E-03,497.751E-03
32,1.23659E+03,359.592,20.408,64.1751E-03,0.,,477.343E-03,495.72E-03
33,1.24462E+03,358.963,20.4708,67.192E-03,0.,,482.263E-03,494.441E-03
34,1.25259E+03,358.141,20.4661,70.2604E-03,0.,,487.334E-03,493.061E-03
35,1.25978E+03,356.799,20.1324,73.2432E-03,0.,,492.439E-03,491.381E-03
36,1.267E+03,355.464,19.9095,76.2721E-03,0.,,497.618E-03,489.786E-03
37,1.27406E+03,354.587,19.7759,79.235E-03,0.,,502.017E-03,488.469E-03
38,1.28088E+03,353.274,19.6602,82.1996E-03,0.,,506.979E-03,487.029E-03
39,1.28752E+03,352.173,19.5841,85.1255E-03,0.,,511.52E-03,485.734E-03
40,1.29385E+03,350.72,19.4353,88.0414E-03,0.,,516.351E-03,484.304E-03
41,1.30039E+03,350.558,19.3128,90.9614E-03,0.,,519.184E-03,483.398E-03
42,1.30676E+03,350.394,19.1238,93.8937E-03,0.,,521.847E-03,482.48E-03
43,1.31312E+03,350.717,18.985,96.8072E-03,0.,,523.755E-03,481.796E-03
44,1.31927E+03,350.73,18.8013,99.7401E-03,0.,,525.998E-03,480.993E-03
45,1.32517E+03,350.999,18.6306,102.643E-03,0.,,527.737E-03,480.335E-03
46,1.33103E+03,351.015,18.4706,105.564E-03,0.,,529.846E-03,479.595E-03
47,1.33672E+03,350.798,18.2763,108.445E-03,0.,,532.187E-03,478.769E-03
48,1.34223E+03,350.599,18.0584,111.333E-03,0.,,534.383E-03,477.964E-03
49,1.34754E+03,350.351,17.9725,114.186E-03,0.,,536.707E-03,477.242E-03
50,1.35287E+03,350.104,17.8517,117.066E-03,0.,,538.979E-03,476.504E-03
51,1.35802E+03,349.723,17.6068,119.917E-03,0.,,541.225E-03,475.671E-03
52,1.36297E+03,349.441,17.5159,122.77E-03,0.,,543.401E-03,474.989E-03
53,1.36793E+03,349.3,17.4281,125.615E-03,0.,,545.357E-03,474.365E-03
54,1.37285E+03,349.186,17.3013,128.454E-03,0.,,547.195E-03,473.739E-03
55,1.37761E+03,349.349,17.0876,131.277E-03,0.,,548.452E-03,473.194E-03
56,1.38346E+03,353.286,17.1845,134.11E-03,0.,,544.849E-03,474.136E-03
57,1.3875E+03,351.235,17.0952,136.913E-03,0.,,549.257E-03,472.898E-03
58,1.3919E+03,350.812,16.9061,139.712E-03,0.,,551.246E-03,472.19E-03
59,1.39608E+03,350.582,16.7958,142.471E-03,0.,,552.953E-03,471.623E-03
60,1.40042E+03,350.952,16.7094,145.238E-03,0.,,553.858E-03,471.28E-03
61,1.40652E+03,358.597,16.0435,148.116E-03,0.,,544.117E-03,473.169E-03
62,1.4103E+03,357.342,15.943,150.862E-03,0.,,547.185E-03,472.271E-03
63,1.41467E+03,358.609,15.8563,153.651E-03,0.,,546.803E-03,472.26E-03
64,1.42395E+03,377.046,15.8135,156.605E-03,0.,,523.39E-03,478.074E-03
65,1.42327E+03,360.378,15.8027,159.227E-03,0.,,547.242E-03,472.031E-03
66,1.42475E+03,353.46,15.4305,161.867E-03,0.,,557.31E-03,469.152E-03
67,1.42841E+03,353.65,15.2337,164.601E-03,0.,,558.071E-03,468.768E-03
68,1.43647E+03,367.608,15.5111,167.468E-03,0.,,541.233E-03,473.219E-03
69,1.439E+03,364.203,15.2514,170.147E-03,0.,,546.706E-03,471.601E-03
70,1.44222E+03,363.233,15.256,172.848E-03,0.,,549.213E-03,470.94E-03
71,1.4509E+03,380.243,16.6918,175.772E-03,0.,,534.575E-03,476.959E-03
72,1.45073E+03,366.767,15.6082,178.488E-03,0.,,552.785E-03,471.574E-03
73,1.45206E+03,363.009,14.0728,181.271E-03,0.,,551.661E-03,469.317E-03
74,1.45735E+03,364.107,16.3318,184.047E-03,0.,,554.302E-03,470.348E-03
75,1.4593E+03,361.257,15.5835,186.774E-03,0.,,558.163E-03,468.764E-03
76,1.46234E+03,360.42,15.4856,189.538E-03,0.,,560.253E-03,468.13E-03
77,1.46549E+03,361.163,15.1643,192.284E-03,0.,,559.927E-03,467.941E-03
78,1.47076E+03,369.973,14.5064,195.101E-03,0.,,548.732E-03,470.255E-03
79,1.47409E+03,369.943,14.7083,197.892E-03,0.,,550.112E-03,470.032E-03
80,1.47791E+03,376.1,13.0587,200.775E-03,0.,,541.115E-03,471.024E-03
81,1.48005E+03,372.57,13.3478,203.487E-03,0.,,547.061E-03,469.726E-03
82,1.48883E+03,393.826,13.0162,206.343E-03,0.,,520.288E-03,476.165E-03
83,1.48885E+03,383.856,13.0715,208.865E-03,0.,,534.118E-03,472.718E-03
84,1.49303E+03,391.318,12.2286,211.437E-03,0.,,524.419E-03,474.498E-03
85,1.49427E+03,385.938,12.431,213.964E-03,0.,,532.507E-03,472.615E-03
86,1.49624E+03,383.347,12.657,216.444E-03,0.,,536.978E-03,471.643E-03
87,1.50097E+03,389.845,13.0896,218.964E-03,0.,,530.134E-03,473.666E-03
88,1.50182E+03,386.218,12.2491,221.462E-03,0.,,534.532E-03,471.917E-03
89,1.50361E+03,384.413,12.0775,223.964E-03,0.,,537.448E-03,471.044E-03
90,1.50844E+03,393.855,11.4907,226.65E-03,0.,,525.634E-03,473.557E-03
91,1.51082E+03,394.147,11.2175,229.218E-03,0.,,525.769E-03,473.301E-03
92,1.51937E+03,414.549,12.1069,232.11E-03,0.,,498.236E-03,479.88E-03
93,1.51951E+03,405.914,11.8668,234.573E-03,0.,,513.404E-03,476.818E-03
94,1.51932E+03,398.601,11.284,237.018E-03,0.,,522.67E-03,474.064E-03
95,1.52054E+03,395.22,11.1126,239.507E-03,0.,,527.54E-03,472.717E-03
96,1.5284E+03,406.398,14.7831,242.034E-03,0.,,516.047E-03,477.575E-03
97,1.52954E+03,401.286,15.372,244.445E-03,0.,,527.719E-03,476.02E-03
98,1.53204E+03,404.131,14.6748,246.877E-03,0.,,522.969E-03,476.409E-03
99,1.53868E+03,426.62,12.0414,249.626E-03,0.,,492.305E-03,482.044E-03
100,1.54656E+03,448.388,11.1888,253.001E-03,0.,,464.912E-03,488.067E-03
101,1.54593E+03,438.035,11.086,255.524E-03,0.,,478.555E-03,484.661E-03
102,1.54841E+03,439.88,10.8593,258.109E-03,0.,,476.721E-03,484.917E-03
103,1.55E+03,437.459,11.0208,260.646E-03,0.,,480.765E-03,484.045E-03
104,1.55983E+03,465.452,11.6709,263.427E-03,0.,,447.554E-03,492.563E-03
105,1.57119E+03,504.38,11.0595,266.739E-03,0.,,434.694E-03,503.577E-03
106,1.57083E+03,488.76,12.3558,269.473E-03,0.,,421.086E-03,499.3E-03
107,1.57688E+03,506.22,12.0072,272.446E-03,0.,,399.942E-03,504.044E-03
108,1.57948E+03,515.468,9.65588,275.523E-03,0.,,386.871E-03,505.479E-03
109,1.58079E+03,514.853,8.18328,278.869E-03,0.,,386.319E-03,504.396E-03
