Disp,Force
0,0
0.000310293,0.001196874
0.000525327,0.001535524
0.000386217,0.00183302
0.000593798,0.002099733
0.000192059,0.002389483
0.00024911,0.002623686
0.00014585,0.002960067
0.000253927,0.003375997
0.000285984,0.004005542
0.00040599,0.004815958
6.35E-05,0.005680007
0.000248413,0.006928918
0.00033989,0.008292773
0.000467179,0.009818568
0.000359298,0.011623424
0.000546654,0.013374363
0.000587849,0.015465887
0.000775444,0.017620888
0.000566537,0.019986475
0.000682342,0.022404465
0.000583223,0.025138172
0.000590656,0.028091707
0.00066373,0.031239794
0.000495205,0.034568012
0.000714458,0.038054665
0.000783528,0.04196228
0.00068679,0.045973679
0.000783639,0.050194328
0.000861988,0.054787865
0.000794502,0.05950824
0.00090196,0.064404945
0.000951925,0.069365639
0.000988114,0.07471788
0.00110506,0.080223259
0.0010951,0.086030273
0.00125948,0.092090721
0.00126238,0.09835527
0.00149604,0.104951103
0.00164519,0.111910858
0.00160148,0.118987968
0.00161315,0.126266167
0.00184612,0.133920609
0.00197032,0.141870377
0.00216127,0.150059052
0.00219803,0.158355301
0.00228993,0.167177322
0.00233405,0.176012726
0.00234612,0.184926575
0.00258125,0.194244736
0.00264152,0.203939362
0.00273976,0.213873245
0.00293216,0.224102982
0.00292951,0.234454147
0.00313697,0.245132538
0.00396569,0.256211792
0.00274698,0.267470978
0.0034353,0.278801941
0.00372065,0.290457367
0.00383358,0.302657593
0.0038734,0.314950989
0.00449412,0.327394379
0.00420765,0.3400737
0.00418182,0.35296286
0.00438266,0.366063965
0.00471534,0.379329437
0.00469815,0.392908905
0.0046594,0.406508392
0.00497978,0.420446198
0.0049709,0.434645538
0.00516057,0.449184113
0.00565099,0.463439148
0.00554957,0.478250702
0.00567159,0.493102325
0.00589941,0.50804071
0.0058652,0.523272949
0.00607463,0.538620056
0.00647117,0.554117737
0.00642722,0.569946289
0.00676767,0.58593042
0.00695073,0.601836182
0.00746071,0.617991882
0.00690827,0.634171692
0.00758366,0.650582703
0.0073087,0.667005127
0.00797246,0.683473022
0.00795802,0.700267761
0.00808262,0.716841736
0.00837,0.734057861
0.00862643,0.751110413
0.00860011,0.768449402
0.00874432,0.785618042
0.00903956,0.802989441
0.00936475,0.820609802
0.00931429,0.837956665
0.00959027,0.85551709
0.00980227,0.873572266
0.0100892,0.891048096
0.0101586,0.908977783
0.0102705,0.926656616
0.010551,0.944519958
0.01069,0.962518677
0.0109235,0.980412292
0.0112339,0.99839679
0.011446,1.01660376
0.0115512,1.035175659
0.0116422,1.053432007
0.0119355,1.071746948
0.0119451,1.09015332
0.0121271,1.108203613
0.0124129,1.126544067
0.012592,1.144421875
