,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 4,Unnamed: 8,Unnamed: 9
79,1.39037E+03,7.15889,-17.9968,258.203E-03,329.411E-03,970.154E-03
80,1.39258E+03,7.27823,-19.8941,262.069E-03,328.778E-03,967.717E-03
81,1.39548E+03,7.36852,-20.255,265.962E-03,328.689E-03,967.084E-03
82,1.39783E+03,6.58834,-20.8645,269.892E-03,328.206E-03,967.398E-03
83,1.40044E+03,6.17303,-21.0415,273.849E-03,328.007E-03,967.82E-03
84,1.40335E+03,6.41587,-21.3045,277.83E-03,328.009E-03,967.349E-03
85,1.40637E+03,7.56769,-22.1786,281.842E-03,328.111E-03,965.097E-03
86,1.40914E+03,7.78659,-22.4685,285.89E-03,328.095E-03,964.58E-03
87,1.41202E+03,7.9766,-22.5627,289.974E-03,328.138E-03,964.405E-03
88,1.41437E+03,7.68004,-22.9829,294.1E-03,327.895E-03,964.315E-03
89,1.41706E+03,7.95661,-23.3137,298.25E-03,327.885E-03,963.682E-03
90,1.41964E+03,8.51349,-24.042,302.45E-03,327.83E-03,962.294E-03
91,1.42138E+03,7.99388,-25.2903,306.687E-03,327.219E-03,961.46E-03
92,1.42364E+03,7.95826,-25.9751,310.96E-03,326.977E-03,960.811E-03
93,1.42593E+03,8.03356,-26.5173,315.277E-03,326.823E-03,960.157E-03
94,1.42814E+03,8.034,-27.2208,319.637E-03,326.587E-03,959.454E-03
95,1.43037E+03,8.20636,-27.8426,324.049E-03,326.439E-03,958.634E-03
96,1.43267E+03,8.50171,-28.4946,328.512E-03,326.324E-03,957.612E-03
97,1.43417E+03,8.14994,-29.9682,333.024E-03,325.699E-03,956.368E-03
98,1.43639E+03,8.76536,-30.9225,337.584E-03,325.588E-03,954.593E-03
99,1.43843E+03,8.75463,-31.5582,342.204E-03,325.375E-03,953.952E-03
100,1.44018E+03,8.92765,-32.8952,346.903E-03,324.98E-03,952.34E-03
101,1.44207E+03,9.2062,-34.0097,351.638E-03,324.699E-03,950.834E-03
102,1.44361E+03,9.03419,-35.2887,356.445E-03,324.209E-03,949.686E-03
103,1.44531E+03,8.98607,-36.3763,361.322E-03,323.829E-03,948.519E-03
104,1.4472E+03,8.50527,-36.5518,366.285E-03,323.621E-03,948.963E-03
105,1.44907E+03,8.69867,-37.4482,371.324E-03,323.39E-03,947.756E-03
106,1.44985E+03,8.62903,-40.0976,376.408E-03,322.464E-03,944.953E-03
107,1.45155E+03,8.77305,-41.1676,381.597E-03,322.158E-03,943.655E-03
108,1.45337E+03,8.70502,-41.7134,386.869E-03,321.963E-03,943.183E-03
109,1.45497E+03,8.6311,-42.6533,392.228E-03,321.63E-03,942.252E-03
110,1.45641E+03,8.64412,-43.9438,397.683E-03,321.206E-03,940.913E-03
111,1.45778E+03,9.03003,-45.671,403.234E-03,320.757E-03,938.638E-03
112,1.45919E+03,9.21661,-47.1382,408.898E-03,320.331E-03,936.854E-03
113,1.46055E+03,8.99774,-48.2118,414.657E-03,319.908E-03,935.998E-03
114,1.46191E+03,8.89998,-49.4296,420.558E-03,319.476E-03,934.82E-03
115,1.46296E+03,8.97932,-51.3386,426.558E-03,318.865E-03,932.781E-03
116,1.46344E+03,8.51729,-53.802,432.666E-03,317.887E-03,930.649E-03
117,1.46441E+03,8.35795,-55.5706,438.902E-03,317.25E-03,928.977E-03
118,1.46534E+03,8.41275,-57.5553,445.272E-03,316.609E-03,926.781E-03
119,1.46654E+03,8.48339,-59.0188,451.772E-03,316.153E-03,925.197E-03
