,Unnamed: 1,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 9,Unnamed: 10
2,0.,0.,0.,0.,0.,0.
3,0.,75.6976,18.2754,-1.58099E-03,0.,0.
4,0.,157.468,36.1343,81.0914E-03,0.,0.
5,0.,242.583,54.163,85.3737E-03,0.,0.
6,0.,321.887,73.1082,2.60632E-03,0.,0.
7,12.9559E-06,413.489,98.8304,510.361E-03,0.,0.
8,305.836E-06,485.925,105.488,-7.71611E-03,445.287E-03,603.014E-03
9,569.729E-06,541.326,115.824,-11.5607E-03,443.666E-03,609.224E-03
10,825.71E-06,593.228,128.225,-180.729E-03,444.601E-03,604.436E-03
11,931.663E-06,647.744,147.854,261.057E-03,451.319E-03,581.869E-03
12,1.07275E-03,711.795,169.427,429.2E-03,456.536E-03,561.946E-03
13,1.30764E-03,775.655,199.01,-3.0325,462.754E-03,517.412E-03
14,1.57902E-03,847.797,223.339,455.055E-03,468.463E-03,498.13E-03
15,3.62301E-03,967.016,267.508,39.4741,507.275E-03,545.186E-03
16,6.41115E-03,969.991,237.988,13.0695,469.651E-03,567.033E-03
17,8.86434E-03,984.487,238.323,3.23633,460.55E-03,557.912E-03
18,11.2794E-03,999.374,235.76,2.85417,457.049E-03,569.614E-03
19,13.6697E-03,1.01254E+03,225.878,8.64614,454.388E-03,604.438E-03
20,15.8322E-03,1.02291E+03,229.905,3.66137,451.575E-03,594.773E-03
21,17.9465E-03,1.03396E+03,228.903,4.73572,450.72E-03,601.639E-03
22,20.0067E-03,1.04164E+03,229.921,446.973E-03,447.481E-03,596.45E-03
23,21.742E-03,1.04932E+03,228.857,954.411E-03,446.453E-03,602.441E-03
24,23.384E-03,1.05674E+03,232.002,-746.081E-03,446.08E-03,597.033E-03
25,25.0337E-03,1.06465E+03,234.435,-740.98E-03,446.274E-03,593.227E-03
26,25.656E-03,1.06184E+03,247.922,-3.88233,0.,0.
27,25.9493E-03,1.05734E+03,260.639,-13.5587,0.,0.
28,26.9592E-03,1.0774E+03,276.92,-18.5005,453.389E-03,496.648E-03
29,28.714E-03,1.09064E+03,289.958,-12.3042,476.967E-03,463.065E-03
30,30.2721E-03,1.09859E+03,305.929,-15.5961,486.339E-03,408.586E-03
31,32.4507E-03,1.11015E+03,320.417,-5.16316,492.912E-03,375.7E-03
32,34.1832E-03,1.12492E+03,332.531,-5.159,505.487E-03,331.778E-03
33,36.0809E-03,1.13759E+03,340.827,-766.552E-03,0.,0.
34,38.1269E-03,1.14904E+03,332.933,1.13585,499.011E-03,405.809E-03
35,40.4442E-03,1.16065E+03,343.555,2.21625,499.958E-03,409.609E-03
36,43.1403E-03,1.16796E+03,355.34,-4.50487,494.477E-03,405.713E-03
37,46.7836E-03,1.18287E+03,383.042,-8.70895,500.868E-03,371.41E-03
38,53.6359E-03,1.23546E+03,411.4,24.0062,506.131E-03,442.961E-03
39,65.6731E-03,1.33237E+03,488.728,81.6272,574.002E-03,380.937E-03
40,136.226E-03,1.61381E+03,1.18258E+03,464.479,0.,0.
41,139.019E-03,1.41207E+03,844.387,42.0319,1.02924,128.015E-03
42,143.701E-03,1.35016E+03,963.549,34.158,0.,0.
43,143.779E-03,1.44779E+03,1.0379E+03,66.8447,0.,0.
44,145.408E-03,1.53393E+03,1.04065E+03,112.189,716.276E-03,
45,148.589E-03,1.56327E+03,1.03681E+03,133.067,1.1379,252.313E-03
46,152.967E-03,1.60616E+03,1.00251E+03,161.341,568.794E-03,
47,156.432E-03,1.58806E+03,1.00298E+03,160.111,79.5064E-03,
48,160.346E-03,1.67054E+03,1.05341E+03,212.251,702.859E-03,11.6608E-03
49,164.865E-03,1.72674E+03,1.07357E+03,253.737,688.426E-03,47.1165E-03
50,169.655E-03,1.7732E+03,1.05414E+03,296.621,1.22632,362.138E-03
51,174.704E-03,1.80174E+03,1.07795E+03,328.753,1.80432,236.441E-03
52,179.513E-03,1.82034E+03,1.13589E+03,324.913,404.075E-03,377.226E-03
53,184.601E-03,1.84584E+03,1.19133E+03,349.235,156.234E-03,575.85E-03
