,Unnamed: 1,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 9,Unnamed: 10
2,0.,0.,0.,0.,0.,0.
3,0.,75.6904,18.2708,2.48415E-03,0.,0.
4,0.,157.465,36.1495,82.0611E-03,0.,0.
5,0.,242.572,54.1585,83.0037E-03,0.,0.
6,0.,321.869,73.0671,23.6522E-03,0.,0.
7,4.93445E-06,412.616,95.6325,307.805E-03,0.,0.
8,308.678E-06,486.499,106.382,29.8839E-03,446.16E-03,599.98E-03
9,574.841E-06,542.395,117.123,1.66764E-03,444.705E-03,605.335E-03
10,830.843E-06,594.343,129.427,-190.106E-03,442.955E-03,611.987E-03
11,933.589E-06,649.677,148.902,263.284E-03,451.733E-03,579.951E-03
12,1.07806E-03,713.336,170.77,-159.165E-03,456.65E-03,557.908E-03
13,1.31451E-03,777.618,197.528,-659.735E-03,463.687E-03,527.261E-03
14,1.58788E-03,850.104,223.088,1.16456,469.71E-03,516.57E-03
15,3.76542E-03,966.24,271.887,30.7451,502.768E-03,520.877E-03
16,6.45195E-03,970.05,243.284,8.2406,468.856E-03,548.158E-03
17,8.92193E-03,985.692,233.167,8.66673,461.635E-03,577.577E-03
18,11.3515E-03,1.00033E+03,229.251,8.78856,457.763E-03,592.472E-03
19,13.7494E-03,1.01172E+03,238.826,-3.26634,452.801E-03,560.029E-03
20,15.9421E-03,1.02457E+03,225.904,8.1775,450.611E-03,578.425E-03
21,18.1052E-03,1.03544E+03,228.626,6.16763,451.378E-03,604.93E-03
22,20.2716E-03,1.04353E+03,225.74,4.60491,447.961E-03,611.473E-03
23,22.2658E-03,1.0513E+03,226.261,2.21647,445.789E-03,610.038E-03
24,24.1394E-03,1.05955E+03,227.15,1.92223,445.15E-03,611.231E-03
25,26.1566E-03,1.06862E+03,225.122,4.50712,444.872E-03,622.427E-03
26,28.2256E-03,1.07675E+03,224.47,4.68001,443.812E-03,626.998E-03
27,30.2173E-03,1.08426E+03,226.779,2.74198,442.922E-03,622.8E-03
28,32.1296E-03,1.09172E+03,226.924,3.05059,442.428E-03,625.751E-03
29,34.035E-03,1.0988E+03,228.196,2.33258,441.874E-03,625.074E-03
30,35.8814E-03,1.10567E+03,228.597,2.4766,441.469E-03,627.091E-03
31,37.7031E-03,1.1123E+03,228.868,2.66477,441.061E-03,629.286E-03
32,39.5336E-03,1.1187E+03,229.297,2.54984,440.567E-03,630.679E-03
33,41.3164E-03,1.12461E+03,229.229,2.39496,439.873E-03,632.679E-03
34,43.0973E-03,1.13058E+03,230.109,1.9221,439.426E-03,632.598E-03
35,44.8602E-03,1.1365E+03,230.59,1.88347,439.065E-03,633.787E-03
36,46.6051E-03,1.14229E+03,230.939,1.97805,438.738E-03,635.339E-03
37,48.3662E-03,1.14821E+03,231.567,2.13924,438.57E-03,636.516E-03
38,50.1154E-03,1.15392E+03,232.399,2.05236,438.368E-03,636.934E-03
39,51.8522E-03,1.15957E+03,233.039,2.16635,438.205E-03,637.92E-03
40,53.5856E-03,1.16527E+03,233.893,2.37801,438.191E-03,638.69E-03
41,55.3148E-03,1.1708E+03,234.629,2.50288,438.09E-03,639.472E-03
42,57.0524E-03,1.17642E+03,235.556,2.73197,438.127E-03,640.096E-03
43,58.7744E-03,1.18178E+03,236.341,2.81897,438.042E-03,640.677E-03
44,60.4964E-03,1.18711E+03,237.204,2.89726,437.991E-03,641.099E-03
45,62.2263E-03,1.19255E+03,238.28,3.10452,438.096E-03,641.376E-03
46,63.947E-03,1.19774E+03,239.153,3.14538,438.04E-03,641.681E-03
47,65.6706E-03,1.20297E+03,240.021,3.35282,438.072E-03,642.227E-03
48,67.3442E-03,1.20816E+03,239.598,3.21117,437.354E-03,644.399E-03
49,68.9914E-03,1.21299E+03,239.677,3.1707,436.946E-03,645.754E-03
50,70.6275E-03,1.21772E+03,239.862,3.10519,436.581E-03,646.867E-03
51,72.2619E-03,1.22243E+03,240.059,3.09618,436.258E-03,648.012E-03
52,73.8977E-03,1.22726E+03,240.493,3.2565,436.12E-03,649.029E-03
53,75.5289E-03,1.23207E+03,241.18,3.35972,436.061E-03,649.552E-03
54,77.1656E-03,1.2369E+03,242.046,3.4764,436.083E-03,649.814E-03
55,78.7874E-03,1.24169E+03,243.024,3.60973,436.166E-03,649.9E-03
56,80.4097E-03,1.24647E+03,244.126,3.76525,436.312E-03,649.819E-03
57,82.0356E-03,1.2512E+03,245.275,3.8776,436.457E-03,649.595E-03
58,83.6713E-03,1.25596E+03,246.544,4.02997,436.671E-03,649.242E-03
59,85.3151E-03,1.26072E+03,247.967,4.13077,436.92E-03,648.585E-03
60,86.9683E-03,1.26548E+03,249.414,4.2922,437.208E-03,647.976E-03
61,88.6374E-03,1.27024E+03,250.866,4.46292,437.503E-03,647.371E-03
62,90.3446E-03,1.27507E+03,252.497,4.58086,437.834E-03,646.449E-03
63,92.0575E-03,1.27988E+03,254.087,4.77061,438.186E-03,645.685E-03
64,93.7863E-03,1.28467E+03,255.695,4.95089,438.538E-03,644.878E-03
65,95.5278E-03,1.28947E+03,257.353,5.1565,438.922E-03,644.034E-03
66,97.2832E-03,1.29427E+03,259.103,5.33055,439.324E-03,643.015E-03
67,99.0503E-03,1.29901E+03,260.866,5.46783,439.713E-03,641.923E-03
68,100.838E-03,1.30379E+03,262.82,5.66222,440.204E-03,640.628E-03
69,102.648E-03,1.30864E+03,264.844,5.98268,440.778E-03,639.411E-03
70,104.473E-03,1.31347E+03,266.801,6.2646,441.304E-03,638.248E-03
71,106.311E-03,1.31825E+03,268.638,6.5118,441.764E-03,637.221E-03
72,108.156E-03,1.323E+03,270.369,6.72863,442.167E-03,636.309E-03
73,110.01E-03,1.32764E+03,272.043,6.79412,442.474E-03,635.277E-03
74,111.886E-03,1.33225E+03,274.053,6.99943,442.987E-03,633.911E-03
75,113.784E-03,1.33694E+03,276.012,7.28067,443.508E-03,632.739E-03
76,115.699E-03,1.34163E+03,277.924,7.54469,443.999E-03,631.625E-03
77,117.63E-03,1.3463E+03,279.677,7.81401,444.429E-03,630.753E-03
78,119.574E-03,1.35095E+03,281.44,8.00686,444.823E-03,629.774E-03
79,121.544E-03,1.35556E+03,283.501,8.22559,445.347E-03,628.383E-03
80,123.536E-03,1.36018E+03,285.545,8.50393,445.889E-03,627.1E-03
81,125.55E-03,1.36485E+03,287.543,8.82995,446.43E-03,625.961E-03
82,127.58E-03,1.3695E+03,289.477,9.11419,446.924E-03,624.869E-03
83,129.626E-03,1.37412E+03,291.345,9.33992,447.363E-03,623.803E-03
84,131.695E-03,1.3787E+03,293.483,9.62107,447.933E-03,622.401E-03
85,133.794E-03,1.3833E+03,295.634,9.91132,448.508E-03,621.006E-03
86,135.917E-03,1.38799E+03,297.822,10.262,449.115E-03,619.663E-03
87,138.062E-03,1.39263E+03,299.886,10.5624,449.651E-03,618.434E-03
88,140.219E-03,1.3972E+03,301.862,10.7942,450.122E-03,617.238E-03
89,142.42E-03,1.40183E+03,304.231,11.1532,450.796E-03,615.651E-03
90,144.653E-03,1.40647E+03,306.517,11.4831,451.42E-03,614.159E-03
91,146.919E-03,1.41121E+03,308.841,11.8815,452.079E-03,612.732E-03
92,149.198E-03,1.41586E+03,310.953,12.2063,452.628E-03,611.498E-03
93,151.517E-03,1.4205E+03,313.316,12.5448,453.272E-03,609.935E-03
94,153.877E-03,1.4252E+03,315.839,12.9209,453.986E-03,608.212E-03
95,156.347E-03,1.43008E+03,318.366,13.3227,454.694E-03,606.577E-03
96,158.85E-03,1.43498E+03,320.849,13.7062,455.37E-03,605.E-03
97,161.39E-03,1.43988E+03,323.481,14.122,456.114E-03,603.255E-03
98,163.974E-03,1.44482E+03,326.299,14.5869,456.94E-03,601.329E-03
99,166.596E-03,1.4498E+03,329.039,15.0686,457.738E-03,599.552E-03
100,169.257E-03,1.4548E+03,331.789,15.5097,458.513E-03,597.734E-03
101,171.959E-03,1.45977E+03,334.714,15.9891,459.367E-03,595.718E-03
102,174.709E-03,1.46483E+03,337.794,16.5281,460.294E-03,593.587E-03
103,177.504E-03,1.46995E+03,340.878,17.0645,461.21E-03,591.48E-03
104,180.34E-03,1.47507E+03,343.936,17.5977,462.108E-03,589.419E-03
105,183.23E-03,1.48021E+03,347.278,18.2078,463.139E-03,587.065E-03
106,186.177E-03,1.48543E+03,350.666,18.8247,464.175E-03,584.694E-03
107,189.172E-03,1.49068E+03,354.02,19.4219,465.181E-03,582.371E-03
108,192.221E-03,1.49596E+03,357.586,20.1114,466.297E-03,579.879E-03
109,195.335E-03,1.50131E+03,361.324,20.8015,467.461E-03,577.188E-03
110,198.508E-03,1.50672E+03,365.06,21.4958,468.614E-03,574.538E-03
111,201.738E-03,1.51217E+03,368.916,22.274,469.838E-03,571.84E-03
112,205.037E-03,1.5177E+03,373.007,23.1173,471.16E-03,568.935E-03
113,208.401E-03,1.52333E+03,377.164,23.9596,472.488E-03,565.982E-03
114,211.829E-03,1.52893E+03,381.361,24.8291,473.837E-03,563.012E-03
115,215.335E-03,1.53463E+03,385.851,25.7573,475.297E-03,559.759E-03
116,218.911E-03,1.54045E+03,390.421,26.7263,476.784E-03,556.496E-03
117,222.556E-03,1.54625E+03,395.105,27.7389,478.323E-03,553.135E-03
