,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 4,Unnamed: 8,Unnamed: 9
2,0.,0.,0.,0.,0.,0.
3,79.719,2.68299,-22.6231E-03,0.,0.,0.
4,154.28,6.69961,43.9159E-03,0.,0.,0.
5,225.05,13.8329,475.072E-06,0.,0.,0.
6,299.421,19.1864,13.0682E-03,0.,0.,0.
7,379.003,23.3267,26.0377E-03,0.,0.,0.
8,458.143,28.6454,-104.038E-03,116.429E-06,365.292E-03,891.968E-03
9,509.889,29.0264,-113.871E-03,421.318E-06,362.043E-03,902.803E-03
10,556.009,31.8188,-81.0035E-03,688.72E-06,362.239E-03,902.405E-03
11,598.289,33.6769,-139.083E-03,909.094E-06,361.711E-03,903.901E-03
12,644.938,37.6192,-179.787E-03,1.08842E-03,362.731E-03,900.258E-03
13,687.855,40.6042,-678.258E-03,1.2805E-03,362.704E-03,897.878E-03
14,729.531,43.5802,-1.34383,1.46697E-03,361.75E-03,913.085E-03
15,770.922,46.4884,-1.8783,1.65369E-03,361.714E-03,912.474E-03
16,817.051,62.5876,4.00995,1.81236E-03,374.785E-03,872.406E-03
17,870.979,78.8217,8.91368,4.83721E-03,383.468E-03,998.737E-03
18,878.833,47.6645,27.583,6.44893E-03,377.978E-03,961.205E-03
19,885.602,40.1056,28.0892,7.75676E-03,368.536E-03,945.126E-03
20,898.843,70.2723,-925.266E-03,8.9877E-03,364.172E-03,952.259E-03
21,906.805,55.8746,10.8754,10.1896E-03,371.176E-03,915.146E-03
22,915.908,79.4673,-13.0481,11.3249E-03,362.829E-03,967.009E-03
23,923.387,66.4437,2.87913,12.4846E-03,369.184E-03,857.999E-03
24,932.07,102.069,-33.7504,13.6424E-03,368.23E-03,752.49E-03
25,938.325,90.9194,-20.6451,14.7934E-03,351.299E-03,993.968E-03
26,946.247,95.9367,-25.1867,15.9415E-03,369.726E-03,782.526E-03
27,949.502,103.61,-33.9536,17.0401E-03,370.597E-03,960.429E-03
28,955.331,50.8724,21.5814,18.1169E-03,357.462E-03,947.815E-03
29,958.419,70.5536,1.4279,19.1623E-03,362.911E-03,873.887E-03
30,965.771,67.6237,2.39805,20.2558E-03,372.404E-03,982.164E-03
31,970.703,113.926,-41.8478,21.4185E-03,375.497E-03,971.633E-03
32,974.514,37.1577,33.5765,22.5102E-03,351.751E-03,883.022E-03
33,982.338,68.3592,2.16309,23.6304E-03,352.777E-03,942.468E-03
34,987.941,75.4464,-4.70601,24.7067E-03,360.946E-03,820.36E-03
35,990.504,46.698,23.4343,25.7451E-03,369.953E-03,982.86E-03
36,996.737,80.0581,-11.4103,26.8104E-03,367.754E-03,843.672E-03
